BUILDING ADDRESS,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),ENERGY STAR SCORE,GROSS BUILDING FLOOR AREA (ft²),PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),TOTAL WATER USE (kgal),YEAR BUILT
18757 BURBANK BLVD,341.9,Not Available,72106.0,Other,66.3,2.2,1986.0
801 S LOS ANGELES ST,56.3,Not Available,83520.0,Manufacturing/Industrial Plant,11.1,401.0,1923.0
1552 SCHRADER BLVD,32.4,100,29819.0,Multifamily Housing,15.9,1291.9,2000.0
4550 W SUNSET BLVD,1209.6,5.0,115419.0,Hospital (General Medical & Surgical),138.2,18729.0,1989.0
431 S HARVARD BLVD,75.7,77,34776.0,Multifamily Housing,42.4,2741.6,1970.0
5761 W IMPERIAL HWY,201.3,42,141737.0,Non-Refrigerated Warehouse,23.1,5626.8,1983.0
7343 SEPULVEDA BLVD,112.1,100,75000.0,Multifamily Housing,28.0,3764.3,1963.0
8516 SEPULVEDA BLVD,10.3,93,37500.0,Non-Refrigerated Warehouse,4.5,40.4,1985.0
7041 WOODMAN AVE,52.9,84,21926.0,Multifamily Housing,43.2,1618.8,1961.0
12250 MONTAGUE ST,21.7,Not Available,108000.0,Self-Storage Facility,2.6,149.1,1976.0
5825 RESEDA BLVD,274.9,73,115150.0,Multifamily Housing,38.5,5644.8,1995.0
5745 ARBOR VITAE ST,38.7,100,70615.0,Office,8.0,76.3,2017.0
900 IROLO ST,220.4,38.0,56393.0,Multifamily Housing,57.2,2081.1,1987.0
11919 CULVER BLVD,70.5,75,33987.0,Multifamily Housing,34.1,824.4,1989.0
1345 S BEVERLY GLEN BLVD,41.8,96,25186.0,Multifamily Housing,29.4,876.0,1988.0
10746 FRANCIS PL,244.1,66,121748.0,Multifamily Housing,35.7,5589.4,1973.0
13235 GOLDEN STATE RD,534.0,Not Available,573698.0,Refrigerated Warehouse,15.5,1142.5,2008.0
6830 JORDAN AVE,26.6,100.0,92270.0,Multifamily Housing,3.3,4121.0,2002.0
3339 S CANFIELD AVE,34,100,35340.0,Multifamily Housing,17.5,1028.6,1971.0
5212 W ADAMS BLVD,274.9,65,26110.0,Supermarket/Grocery Store,179.9,2453.6,1968.0
1715 CAMDEN AVE,38.8,84,23521.0,Multifamily Housing,29.2,832.6,1985.0
1925 W ADAMS BLVD,121.2,55,59384.0,Multifamily Housing,35.7,2844.1,1980.0
6601 CENTER DR WEST,414.4,79.0,105249.0,Office,51.9,1278.9,1991.0
9261 WAKEFIELD AVE,67.3,73,24428.0,Multifamily Housing,47.9,1894.1,1988.0
430 S BURNSIDE AVE,174.8,100.0,192306.0,Multifamily Housing,12.0,10640.4,1951.0
1111 STANFORD AVE,13,77,40000.0,Non-Refrigerated Warehouse,4.9,29.9,1925.0
2120 W 8TH ST,8.4,100,29363.0,Office,4.8,603.6,1963.0
501 S FULLER AVE,115.4,75,45795.0,Multifamily Housing,44.6,3462.0,1951.0
18101 ROSCOE BLVD,127.6,52,36262.0,Multifamily Housing,61.1,2.4,1977.0
2120 W 8TH ST,8.1,100,29363.0,Office,4.7,627.9,1963.0
13915 OXNARD ST,21.6,Not Available,58648.0,Multifamily Housing,4.8,4916.6,2001.0
16311 VENTURA BLVD,1069.4,30,172619.0,Office,107.0,5389.0,1980.0
7735 HOLLYWOOD BLVD,9,100,40784.0,Multifamily Housing,3.8,1493.9,1947.0
6326 LEXINGTON AVE,38.8,71,28000.0,Multifamily Housing,22.9,3076.7,1927.0
340 S LA FAYETTE PARK PL,336.2,6.0,87442.0,Multifamily Housing,56.3,4854.9,1973.0
10345 S CENTRAL AVE,132.1,6,41996.0,Multifamily Housing,51.7,3061.0,2009.0
780 SWARTHMORE AVE,50.6,83,43824.0,K-12 School,19.8,320.2,1994.0
4240 GLENCOE AVE,530.7,48.0,163614.0,Multifamily Housing,47.7,8031.8,1998.0
12100 W OLYMPIC BLVD,693.8,77.0,155641.0,Office,58.8,4222.6,2002.0
9850 RESEDA BLVD,409.3,90,192386.0,Multifamily Housing,34.7,9683.5,1964.0
679 S ANDERSON ST,17.5,89,47490.0,Mixed Use Property,5.6,51.6,1965.0
1714 IVAR AVE,548.7,77.0,199784.0,Multifamily Housing,41.8,95.5,1972.0
1750 N WESTERN AVE,80.3,86,69141.0,Multifamily Housing,19.2,4139.0,1991.0
11175 HUSTON ST,52.1,62,24098.0,Multifamily Housing,37.9,1189.4,1965.0
11230 MOORPARK ST,107,1,23721.0,K-12 School,74.7,672.5,1952.0
5650 FAIR AVE,74.7,81,31030.0,Multifamily Housing,42.0,1.6,2010.0
1336 N ORANGE DR,72.4,84,41946.0,Multifamily Housing,30.1,2090.8,1970.0
9657 MASON AVE,33.8,Not Available,48686.0,Manufacturing/Industrial Plant,11.5,138.4,1980.0
8615 TAMARACK AVE,82.2,52.0,60000.0,Non-Refrigerated Warehouse,18.1,161.6,1974.0
639 S SPRING ST,451.5,1.0,121274.0,Multifamily Housing,49.1,3162.0,2001.0
11300 EXPOSITION BLVD,116.2,99.0,56000.0,Multifamily Housing,32.2,1998.9,1999.0
11666 SHERMAN WAY,1096.6,Not Available,121793.0,Laboratory,110.6,3605.0,1953.0
20120 PLUMMER ST,49.1,40,40310.0,Non-Refrigerated Warehouse,20.6,617.9,1975.0
10523 FLORALITA AVE,7.6,Not Available,24234.0,Multifamily Housing,5.1,1616.3,1986.0
7020 LANEWOOD AVE,129,63,52400.0,Multifamily Housing,41.4,1893.3,1987.0
8720 BEVERLY BLVD,4571.2,Not Available,215598.0,Laboratory,315.4,49237.5,1989.0
1609 N NORMANDIE AVE,41,100,29444.0,Multifamily Housing,25.4,1397.5,1929.0
16920 CHATSWORTH ST,117.1,72.0,52669.0,Multifamily Housing,34.9,2818.7,2000.0
924 S CARONDELET ST,479.7,1,72672.0,Multifamily Housing,122.0,4946.1,1988.0
3901 URSULA AVE,83,65,30809.0,Multifamily Housing,47.9,1056.2,1959.0
6233 HOLLYWOOD BLVD,320.2,Not Available,37500.0,Performing Arts,141.1,1825.0,1929.0
14650 SHERMAN WAY,190.5,82.0,72544.0,Multifamily Housing,41.9,3185.3,1982.0
17810 MERRIDY ST,91.1,92,39392.0,Multifamily Housing,37.7,2803.7,1987.0
4700 INGLEWOOD BLVD,23.4,Not Available,62690.0,Supermarket/Grocery Store,4.9,1102.9,1960.0
14543 BURBANK BLVD,7.4,100,28000.0,Multifamily Housing,4.0,1431.1,1985.0
8110 REDLANDS ST,47.9,100,36128.0,Multifamily Housing,24.1,1864.1,1969.0
13425 S FIGUEROA ST,51.4,83,22744.0,Retail Store,31.9,265.5,2012.0
20336 COHASSET ST,53.7,74,20121.0,Multifamily Housing,48.3,977.7,1964.0
3205 LOS FELIZ BLVD,752.7,36.0,179217.0,Multifamily Housing,69.0,8528.5,1967.0
9301 N TAMPA AVE,3085.0,Not Available,511340.0,Enclosed Mall,79.6,22934.3,1971.0
14675 NORDHOFF ST,58.7,69,22468.0,Multifamily Housing,47.1,3642.3,1977.0
4900 VINELAND AVE,111.3,81,64652.0,Multifamily Housing,29.8,1114.6,1980.0
9361 CANOGA AVE,106.8,Not Available,65000.0,Manufacturing/Industrial Plant,24.0,437.6,2001.0
19787 BAHAMA ST,8.3,97,44800.0,Non-Refrigerated Warehouse,3.2,29.2,1968.0
5420 W SUNSET BLVD,76.4,Not Available,101950.0,Supermarket/Grocery Store,9.9,4832.7,2007.0
6101 W CENTURY BLVD,1608.9,88.0,723626.0,Hotel,29.3,24322.2,1981.0
500 S LAKE ST,193.4,59,98484.0,Multifamily Housing,34.7,4816.0,1989.0
145 S PECAN ST,15.5,Not Available,9287.0,Other - Recreation,19.8,5216.9,2004.0
14360 VALERIO ST,88.2,88,52266.0,Multifamily Housing,29.3,5653.0,1964.0
516 S ANDERSON ST,8.8,Not Available,57953.0,Manufacturing/Industrial Plant,2.2,98.0,1917.0
6040 SUNSET BLVD,1904.8,37.0,300000.0,Office,90.1,4393.1,2005.0
10059 PINEWOOD AVE,34.6,100,21096.0,Multifamily Housing,30.3,1147.5,1972.0
13488 MAXELLA AVE,512.7,Not Available,236775.0,Multifamily Housing,37.2,8360.8,2013.0
1244 N ORANGE DR,60.7,98,30360.0,Multifamily Housing,35.4,1331.5,1988.0
5790 CANOGA AVE,40.7,Not Available,7550.0,Parking,76.5,575.7,2003.0
4641 SANTA MONICA BLVD,491.4,Not Available,60581.0,Retail Store,127.8,2016.7,1970.0
9215 SEPULVEDA BLVD,63.8,85,28229.0,Multifamily Housing,38.6,3.6,2002.0
10556 W PICO BLVD,41.9,Not Available,9700.0,Fire Station,64.4,306.4,2001.0
1311 W 5TH ST,146.1,74,82491.0,Multifamily Housing,31.0,2384.0,2007.0
17039 ROSCOE BLVD,117.2,78,49481.0,Multifamily Housing,41.1,3619.8,1985.0
21051 WARNER CENTER LN,286.0,61.0,60219.0,Office,71.1,1420.1,1982.0
610 S CORONADO ST,65.7,97,24900.0,Multifamily Housing,47.8,3085.7,1927.0
202 W 1ST ST,6719.8,66.0,866989.0,Office,100.4,15843.0,1935.0
321 N VERMONT AVE,88.6,64,30173.0,Hotel,51.3,1811.8,1989.0
1251 W PACIFIC COAST HWY,48.3,Not Available,125938.0,Self-Storage Facility,4.6,584.0,2009.0
23241 VENTURA BLVD,99.6,Not Available,44999.0,Office,37.6,638.8,1978.0
13425 S FIGUEROA ST,50.2,84,22744.0,Retail Store,31.1,421.6,2012.0
4641 SANTA MONICA BLVD,341.6,Not Available,60581.0,Retail Store,93.0,1825.2,1970.0
1421 W TEMPLE ST,77.8,100.0,43600.0,Multifamily Housing,30.5,4575.2,2006.0
866 S WESTERN AVE,45.2,79,20518.0,Retail Store,33.2,180.3,1929.0
6230 RESEDA BLVD,86.4,81,40208.0,Multifamily Housing,38.0,2075.8,1963.0
3217 MINES AVE,50.2,Not Available,10000.0,Other,82.9,92.8,1946.0
7821 ORION AVE,1033.4,Not Available,278077.0,Manufacturing/Industrial Plant,62.5,4700.2,1970.0
17257 VENTURA BLVD,36,Not Available,37612.0,"Personal Services (Health/Beauty, Dry Cleaning, etc.)",14.4,3334.6,1980.0
111 MARQUEZ PL,177.0,54.0,66808.0,Multifamily Housing,46.0,2794.7,1956.0
8925 GLENOAKS BLVD,103.7,54,41507.0,Multifamily Housing,43.7,2061.6,2011.0
1050 S WESTMORELAND AVE,67,66,25525.0,Multifamily Housing,47.0,2252.4,1987.0
8100 REMMET AVE,97.7,11,39420.0,Non-Refrigerated Warehouse,43.2,863.3,1973.0
600 S DETROIT ST,126.8,78,52613.0,Multifamily Housing,42.2,1885.1,1987.0
16200 STAGG ST,49.8,Not Available,20300.0,Manufacturing/Industrial Plant,37.2,303.0,1979.0
860 S KINGSLEY DR,42.4,100,24191.0,Multifamily Housing,28.8,1060.0,1966.0
1930 WILSHIRE BLVD,212.2,100.0,115560.0,Office,29.6,1652.4,1967.0
5500 CANOGA AVE,7380.5,Not Available,224535.0,Manufacturing/Industrial Plant,484.3,24706.9,1961.0
920 E 12TH ST,4.7,Not Available,43300.0,Other - Mall,1.4,272.3,1991.0
8575 W 3RD ST,172.0,Not Available,614449.0,Parking,4.0,534.8,1990.0
4108 GLENCOE AVE,45.1,85.0,39065.0,Office,16.4,369.1,1955.0
808 N SPRING ST,170.5,99.0,129962.0,Multifamily Housing,20.7,7366.0,2013.0
5452 LINDLEY AVE,127.7,92,69967.0,Multifamily Housing,30.5,2416.2,1964.0
7148 COLDWATER CANYON AVE,117.5,Not Available,40894.0,Multifamily Housing,51.8,5071.0,1964.0
1309 AMHERST AVE,49.5,74,26155.0,Multifamily Housing,33.7,1122.8,1972.0
8820 S SEPULVEDA BLVD,61.6,Not Available,51632.0,Strip Mall,19.7,130.9,2007.0
909 OCEAN FRONT WALK,15.9,98,29040.0,Office,8.0,184.8,1984.0
812 S WESTLAKE AVE,68.4,76,23040.0,Multifamily Housing,54.1,2785.0,1927.0
16225 VANOWEN ST,23.1,78,34840.0,Non-Refrigerated Warehouse,11.3,70.3,1988.0
138 N BEAUDRY AVE,537.6,64,226507.0,Multifamily Housing,38.9,8696.1,2008.0
840 S HOBART BLVD,156,99,69610.0,Multifamily Housing,40.1,3556.2,1929.0
2051 N HIGHLAND AVE,600.1,4.0,97500.0,Senior Care Community,87.6,4820.1,2001.0
1331 W 253RD ST,51.6,Not Available,10454.0,Fire Station,75.0,452.8,1980.0
14411 RIVERSIDE DR,52.4,86,21032.0,Multifamily Housing,42.0,1042.8,1979.0
737 S KINGSLEY DR,165.1,84,70686.0,Multifamily Housing,38.4,1990.6,1988.0
757 S MARIPOSA AVE,240.6,Not Available,24256.0,Other - Lodging/Residential,181.8,1506.6,1928.0
20640 NORDHOFF ST,279.4,Not Available,51736.0,Manufacturing/Industrial Plant,86.9,1343.7,1979.0
14522 ADDISON ST,18.7,Not Available,128547.0,Parking,1.9,38.7,1968.0
3330 CAHUENGA BLVD WEST,633.5,Not Available,102636.0,Office,81.4,2714.0,1986.0
9320 LURLINE AVE,292.9,1,30700.0,Non-Refrigerated Warehouse,139.2,425.6,1996.0
5757 W CENTURY BLVD,2182.8,Not Available,499302.0,Office,62.0,8854.1,1980.0
843 TRACTION AVE,76.3,23.0,43600.0,Multifamily Housing,27.0,1535.8,1906.0
8518 WILLIS AVE,83.1,64,27444.0,Multifamily Housing,52.6,3563.7,1960.0
3278 WILSHIRE BLVD,88.2,100.0,119770.0,Multifamily Housing,9.7,2402.3,1924.0
13904 SAYRE ST,43.4,100,46000.0,Multifamily Housing,15.6,4041.7,2009.0
1231 S SAN PEDRO ST,37.7,Not Available,60000.0,Manufacturing/Industrial Plant,8.3,344.0,1914.0
1223 FEDERAL AVE,110.8,68.0,51388.0,Multifamily Housing,33.9,1924.0,1991.0
5054 KLUMP AVE,91.8,57,33077.0,Multifamily Housing,44.6,1419.1,1970.0
3036 N FLETCHER DR,41.9,Not Available,9310.0,Fire Station,68.8,334.6,1958.0
1140 VENICE BLVD,45.8,100,30355.0,Multifamily Housing,26.8,846.0,1986.0
4580 ELECTRONICS PL,882.9,2,63474.0,Office,201.9,2879.0,1977.0
4032 WILSHIRE BLVD,175.9,23,29150.0,Office,94.4,95.1,1961.0
8811 WOODMAN AVE,45.3,65,18660.0,Multifamily Housing,42.5,1545.5,1962.0
10941 STRATHMORE DR,59.9,100,41236.0,Multifamily Housing,25.7,2911.4,1957.0
17200 VENTURA BLVD,685.1,Not Available,122336.0,Other - Mall,82.4,5692.7,1975.0
14620 DICKENS ST,3.9,100,30410.0,Multifamily Housing,1.9,1503.0,1960.0
11805 W SHELDON ST,3,92,10000.0,Non-Refrigerated Warehouse,4.9,0.0,1995.0
8567 FOOTHILL BLVD,95,Not Available,58589.0,Multifamily Housing,29.8,4977.6,1990.0
8845 LANGDON AVE,88.6,83,32600.0,Multifamily Housing,46.2,1730.7,1963.0
5373 CIRCLE DR,54.7,65,22854.0,Multifamily Housing,38.1,1843.9,1964.0
8651 W FOOTHILL BLVD,38.7,Not Available,7700.0,Other - Recreation,66.5,8193.4,1960.0
21341 LASSEN ST,35.8,68,23000.0,Distribution Center,22.0,171.3,1980.0
14403 ADDISON ST,61,88,25597.0,Multifamily Housing,43.1,877.5,1961.0
654 S FIGUEROA ST,1754.5,Not Available,401983.0,Office,57.6,2565.1,1988.0
5312 CORTEEN PL,75.5,89,26764.0,Multifamily Housing,48.5,1783.4,1959.0
1825 N KINGSLEY DR,85.9,72,30572.0,Multifamily Housing,46.1,95.0,1928.0
319 S VIRGIL AVE,138.2,55,67477.0,Multifamily Housing,35.8,2921.1,1991.0
14040 FOOTHILL BLVD,431.1,80.0,176160.0,Multifamily Housing,38.2,8908.6,1985.0
6510 LA MIRADA AVE,77.1,93,36808.0,Multifamily Housing,37.4,1902.3,1989.0
11081 ROSE AVE,61,82,33544.0,Multifamily Housing,30.3,2.0,1970.0
4201 W SUNSET BLVD,83.8,100,53868.0,Senior Living Community,26.3,2127.5,2007.0
430 S GRAMERCY PL,51.7,72,28407.0,Multifamily Housing,30.6,1618.8,1964.0
5433 BEETHOVEN ST,17.3,Not Available,24000.0,Manufacturing/Industrial Plant,11.9,172.8,1970.0
12400 OSBORNE ST,11.3,84,38324.0,Non-Refrigerated Warehouse,4.9,320.2,1998.0
8808 CEDROS AVE,59.6,80,22401.0,Multifamily Housing,45.1,2132.7,1962.0
14639 BURBANK BLVD,127.6,61,51294.0,Multifamily Housing,44.2,2695.2,1985.0
5500 MONROE ST,197.2,48,42564.0,Office,73.5,477.5,1931.0
10859 OXNARD ST,326.2,85,26239.0,Supermarket/Grocery Store,193.2,1591.1,1958.0
15725 PARTHENIA ST,103.9,Not Available,56172.0,Adult Education,31.9,2550.1,1960.0
4032 WILSHIRE BLVD,139.1,41,29150.0,Office,76.9,105.5,1961.0
856 S CATALINA ST,76.2,47,23640.0,Multifamily Housing,55.0,2109.5,1928.0
529 W 7TH ST,705.1,2,75251.0,Office,155.0,1441.5,2000.0
637 WILSHIRE BLVD,155.8,Not Available,263591.0,Parking,6.8,95.5,1974.0
1755 N HIGHLAND AVE,2630.5,69.0,554087.0,Hotel,74.4,15047.6,1990.0
12800 CULVER BLVD,10180.6,97.0,171213.0,Data Center,880.0,7545.0,1998.0
13928 BALBOA BLVD,1062.7,Not Available,108000.0,Manufacturing/Industrial Plant,165.4,6124.3,2004.0
533 S HARVARD BLVD,78,79,37500.0,Multifamily Housing,36.6,3624.3,1963.0
9060 WINNETKA AVE,391.2,Not Available,36000.0,Manufacturing/Industrial Plant,179.7,1458.7,1963.0
9130 BELLANCA AVE,780.6,Not Available,175560.0,Manufacturing/Industrial Plant,65.0,2460.6,1951.0
1301 S BOYLE AVE,202.3,93.0,86936.0,Multifamily Housing,38.7,4035.7,2003.0
11755 WILSHIRE BLVD,1097.8,97.0,358478.0,Office,40.4,3993.6,1986.0
6041 W IMPERIAL HWY,326.5,Not Available,346323.0,Other,13.8,213.9,1954.0
5855 VAN NUYS BLVD,390.9,Not Available,76521.0,Automobile Dealership,68.2,1738.5,2002.0
3200 HOOPER AVE,35.4,41,34377.0,Non-Refrigerated Warehouse,17.0,97.2,1990.0
2230 E NORFOLK ST,119.4,Not Available,10160.0,Other - Recreation,158.9,9916.9,1975.0
18558 ROSCOE BLVD,156.9,25,33412.0,Multifamily Housing,80.7,3.2,1972.0
12340 ROCHESTER AVE,101.3,89,49691.0,Multifamily Housing,37.0,1370.4,1969.0
10925 BLUFFSIDE DR,309.7,34.0,104920.0,Multifamily Housing,45.0,2899.4,1991.0
7139 HAZELTINE AVE,83.4,75,39010.0,Multifamily Housing,38.0,2157.4,1980.0
340 S NORMANDIE AVE,129.8,73,58130.0,Multifamily Housing,38.9,3818.8,1961.0
7435 N VALJEAN AVE,275.7,Not Available,10080.0,Other,454.1,1319.6,1981.0
2205 W 6TH ST,136.2,Not Available,48600.0,Multifamily Housing,47.9,1716.9,1915.0
879 W 190TH ST,806.9,88.0,256671.0,Office,41.5,5596.2,1988.0
19321 HARBORGATE WAY,72.4,78,144628.0,Distribution Center,8.3,1323.8,2001.0
909 S SERRANO AVE,22.5,Not Available,20784.0,Multifamily Housing,19.2,690.5,1995.0
8665 BURTON WAY,197.2,78,80390.0,Multifamily Housing,43.0,4031.3,1989.0
11761 W ROSCOE BLVD,41.9,Not Available,11000.0,Other,62.9,91.5,1970.0
13031 W VAN NUYS BLVD,63.3,Not Available,14546.0,Fire Station,67.0,636.0,1960.0
21215 W BURBANK BLVD,1283.3,68.0,262771.0,Office,66.3,3649.0,2008.0
5436 THORNBURN ST,48.5,82,28875.0,Multifamily Housing,29.8,1036.8,1990.0
10877 WILSHIRE BLVD,632,97,398836.0,Office,23.1,2516.7,1990.0
2282 CAMBRIDGE ST,72.4,73,36545.0,Multifamily Housing,34.8,4257.9,1927.0
538 S FLOWER ST,1590.4,Not Available,207021.0,Other - Entertainment/Public Assembly,138.7,6219.3,1929.0
17171 ROSCOE BLVD,651.6,65.0,200984.0,Multifamily Housing,50.6,11170.5,1975.0
1611 N FORMOSA AVE,164.6,85,47932.0,Multifamily Housing,57.3,1347.2,1987.0
5665 RESEDA BLVD,184.4,62.0,57103.0,Multifamily Housing,52.8,2408.7,1985.0
3660 WILSHIRE BLVD,672.4,95.0,266395.0,Office,33.7,3537.7,1972.0
314 S VIRGIL AVE,95.9,82,53240.0,Multifamily Housing,32.0,2998.9,1991.0
6400 OWENSMOUTH AVE,304.7,4,30351.0,Retail Store,183.2,404.7,1992.0
22235 SHERMAN WAY,1081.5,Not Available,248954.0,Other - Entertainment/Public Assembly,63.0,7893.4,1980.0
14940 CALVERT ST,195.9,1,24960.0,Non-Refrigerated Warehouse,111.6,240.9,1972.0
11940 MAGNOLIA BLVD,19.7,100,42891.0,Multifamily Housing,8.0,3341.7,1987.0
3555 E WHITTIER BLVD,165.6,89.0,82448.0,Multifamily Housing,33.1,2654.1,2014.0
938 S LAKE ST,184.8,33,62984.0,Multifamily Housing,52.2,2992.2,1930.0
432 S NEW HAMPSHIRE AVE,16.0,100.0,64255.0,Multifamily Housing,3.3,2238.3,1928.0
15455 SAN FERNANDO MISSION BLVD,114.2,61,46322.0,Office,41.1,1019.3,1988.0
155 N OCCIDENTAL BLVD,234.8,48,117956.0,Multifamily Housing,32.1,2706.5,1955.0
12340 MONTANA AVE,39.9,84,29030.0,Multifamily Housing,23.6,813.1,1991.0
1711 CORINTH AVE,36.2,51,20340.0,Multifamily Housing,25.1,824.4,1970.0
10953 BLOOMFIELD ST,21.2,100.0,96500.0,Multifamily Housing,2.9,2846.6,1989.0
3600 BARHAM BLVD,664.8,66.0,281622.0,Multifamily Housing,37.4,12474.0,1973.0
514 PALISADES DR,2.6,Not Available,25000.0,Retail Store,1.5,40485.2,1985.0
11677 GOSHEN AVE,58,67,31558.0,Multifamily Housing,32.3,1273.2,1971.0
8225 SEPULVEDA BLVD,256.2,51,68886.0,Multifamily Housing,67.1,6894.8,1971.0
11907 WICKS ST,11.9,93,20500.0,Office,9.6,19.5,1977.0
11123 HARTSOOK ST,44.7,Not Available,22530.0,Multifamily Housing,35.0,1059.2,1980.0
14200 ARMINTA ST,7612.1,1.0,204387.0,Refrigerated Warehouse,491.1,25529.5,2006.0
1201 RIO VISTA AVE,70.7,90,113000.0,Distribution Center,9.1,398.7,1920.0
1150 S WESTMORELAND AVE,71.7,68,31648.0,Multifamily Housing,38.9,1603.8,1987.0
4221 WILSHIRE BLVD,257.4,100.0,144123.0,Office,28.2,2966.0,1982.0
20954 VANOWEN ST,59.7,75,21063.0,Multifamily Housing,50.2,1725.0,1990.0
447 S BERENDO ST,86.2,49,36704.0,Multifamily Housing,39.5,3987.9,1971.0
1801 CENTURY PARK EAST,1365.1,91.0,423940.0,Office,43.8,4994.5,1972.0
13488 MAXELLA AVE,615.1,Not Available,236775.0,Multifamily Housing,43.1,15716.3,2013.0
130 S MYERS ST,247.4,55,51000.0,Refrigerated Warehouse,80.2,117.9,2004.0
20060 VENTURA BLVD,683.7,Not Available,65240.0,Supermarket/Grocery Store,169.8,3070.8,1958.0
14424 MAGNOLIA BLVD,85.7,84,31482.0,Multifamily Housing,48.7,1336.8,1979.0
11551 SANTA MONICA BLVD,169.9,Not Available,47171.0,Mixed Use Property,63.9,1131.1,2005.0
2200 W 7TH ST,58.4,96,23968.0,Medical Office,42.4,392.0,2000.0
6301 S NORMANDIE AVE,93.1,52,49000.0,Multifamily Housing,32.9,2220.2,1996.0
5640 SANTA MONICA BLVD,203.8,89,45462.0,Multifamily Housing,73.2,4446.4,1929.0
6300 FOOTHILL BLVD,101.5,86.0,43000.0,Retail Store,34.2,373.3,1980.0
450 S GRAND VIEW ST,349.5,57,141286.0,Multifamily Housing,43.1,3067.5,1976.0
21611 SATICOY ST,130.5,93,56650.0,Multifamily Housing,38.3,4379.1,1997.0
11805 W SHELDON ST,18,61,7500.0,Office,39.6,95.0,1990.0
21530 ROSCOE BLVD,89.8,100.0,73450.0,Office,16.9,704.7,2008.0
20151 NORDHOFF ST,178.7,83.0,73702.0,Office,34.6,1019.3,1966.0
715 S NORMANDIE AVE,394.7,55.0,132210.0,Multifamily Housing,49.9,4729.9,1927.0
735 S BROADWAY,6.9,Not Available,21798.0,Mixed Use Property,5.2,250.6,1908.0
1441 E 16TH ST,0,100,55611.0,Non-Refrigerated Warehouse,0.0,285.8,1968.0
2655 S BARRINGTON AVE,4.6,Not Available,21231.0,Multifamily Housing,3.2,707.7,1987.0
14650 SHERMAN WAY,205.9,73,72544.0,Multifamily Housing,45.8,2218.9,1982.0
12750 BARBARA ANN ST,73,61,23304.0,Multifamily Housing,55.7,2796.2,1986.0
14801 SHERMAN WAY,499.1,6.0,94961.0,Multifamily Housing,61.0,5828.8,1974.0
12975 W JEFFERSON BLVD,267.2,99.0,162788.0,Retail Store,23.5,4937.3,1994.0
600 WILSHIRE BLVD,1521.4,42,311160.0,Office,71.7,1424.3,1980.0
1310 WELLESLEY AVE,52.3,78,27394.0,Multifamily Housing,34.4,1024.8,1973.0
1800 N NORMANDIE AVE,174.7,95.0,55655.0,Multifamily Housing,48.9,2.4,1990.0
6022 W AVION DR,220.4,1,16336.0,Office,206.2,1886.8,1992.0
11049 MCCORMICK ST,290.5,48.0,101286.0,Multifamily Housing,43.3,5.8,2007.0
445 W 39TH ST,47.8,91,20832.0,Multifamily Housing,41.9,683.7,2004.0
4561 COLORADO BLVD,143.1,Not Available,170000.0,Self-Storage Facility,11.1,450.5,1964.0
25825 S VERMONT AVE,3.1,Not Available,1450.0,Office,36.1,349.3,2015.0
745 S OXFORD AVE,172.3,100,114317.0,Hotel,25.8,2411.9,1991.0
360 E 2ND ST,160.5,Not Available,137002.0,Office,15.7,1915.3,1931.0
3675 CLARINGTON AVE,41,Not Available,21660.0,Multifamily Housing,34.4,1368.9,1980.0
5971 VENICE BLVD,271.3,80,72539.0,Medical Office,65.2,1060.0,1979.0
450 S GRAND VIEW ST,375.6,57.0,141286.0,Multifamily Housing,41.2,698.9,1976.0
5101 N SEPULVEDA BLVD,8.8,Not Available,7565.0,Fire Station,16.9,45.7,1975.0
916 S SHERBOURNE DR,34,80,22932.0,Multifamily Housing,25.9,923.1,1972.0
9409 OWENSMOUTH AVE,21.6,Not Available,109344.0,Manufacturing/Industrial Plant,2.9,1143.8,1981.0
2820 SAWTELLE BLVD,139.5,81.0,78318.0,Multifamily Housing,28.8,3154.5,2006.0
13005 SATICOY ST,36.9,67,48000.0,Non-Refrigerated Warehouse,11.2,187.8,1971.0
6101 CLYBOURN AVE,194,65,45088.0,Multifamily Housing,73.4,5461.5,1948.0
9000 CORBIN AVE,3,Not Available,102060.0,Self-Storage Facility,0.5,341.1,2004.0
1432 S SALTAIR AVE,61,95,43818.0,Multifamily Housing,24.7,1253.0,1977.0
8526 INTERNATIONAL AVE,313.5,31.0,93908.0,Multifamily Housing,55.3,6713.8,1972.0
4610 LANKERSHIM BLVD,144.9,Not Available,31871.0,Mixed Use Property,75.1,1161.0,2002.0
21341 LASSEN ST,33.8,69,23000.0,Distribution Center,20.7,208.7,1980.0
3535 E WHITTIER BLVD,61.1,100,76449.0,Multifamily Housing,12.8,846.8,2014.0
3311 ROWENA AVE,60.3,78,24610.0,Multifamily Housing,42.2,668.8,1961.0
539 S MISSION RD,5.5,98.0,30000.0,Non-Refrigerated Warehouse,2.4,2.4,1964.0
5461 YARMOUTH AVE,173.0,70.0,64090.0,Multifamily Housing,42.1,3233.1,1970.0
2939 E WASHINGTON BLVD,2942.1,Not Available,36952.0,Manufacturing/Industrial Plant,1285.2,194.5,1962.0
17201 VENTURA BLVD,433.4,Not Available,84353.0,Other - Mall,67.7,5254.3,1973.0
5510 LINCOLN BLVD,915.6,83,263760.0,Office,53.7,3580.0,2002.0
